workload,size,repeats,order
GEMM,64,10,1
GEMM,96,10,2
GEMM,128,10,3
GEMM,160,10,4
GEMM,192,10,5
GEMM,224,10,6
GEMM,256,10,7
GEMM,320,10,8
GEMM,384,10,9
GEMM,448,10,10
GEMM,512,10,11
GEMM,640,10,12
GEMM,768,10,13
GEMM,896,10,14
GEMM,1024,10,15
GEMM,1152,10,16
GEMM,1280,10,17
GEMM,1408,10,18
GEMM,1536,10,19
GEMM,1664,10,20
GEMM,1792,10,21
Reduction,64,10,22
Reduction,96,10,23
Reduction,128,10,24
Reduction,160,10,25
Reduction,192,10,26
Reduction,224,10,27
Reduction,256,10,28
Reduction,320,10,29
Reduction,384,10,30
Reduction,448,10,31
Reduction,512,10,32
Reduction,640,10,33
Reduction,768,10,34
Reduction,896,10,35
Reduction,1024,10,36
Reduction,1280,10,37
Reduction,1536,10,38
Reduction,1792,10,39
Reduction,2048,10,40
Reduction,4096,10,41
Reduction,8192,10,42
Reduction,16384,10,43
Reduction,32768,10,44
Reduction,65536,10,45
